,Unnamed: 0.1,Unnamed: 0,istab,wind,stab,x,sig_x,sig_y,sig_z,how
195,195,195,3,4.1,D,1,0.7062003524797591,0.7062003524797591,0.028211717,fit
196,196,196,3,4.1,D,3.1622776601683795,2.402949625459956,2.402949625459956,0.1234117893169087,fit
197,197,197,3,4.1,D,10,6.904928635808676,6.904928635808676,0.8486471291396669,fit
198,198,198,3,4.1,D,31.6227766,13.334501761718156,13.334501761718156,5.241631178548649,fit
199,199,199,3,4.1,D,100,26.436530448301724,26.436530448301724,11.331246660773711,fit
200,200,200,3,4.1,D,316.227766,60.12768699029823,60.12768699029823,32.08108143960991,fit
201,201,201,3,4.1,D,1000,144.22668926129862,144.22668926129862,97.72268153422144,fit
202,202,202,3,4.1,D,1778.2794100389228,229.3983803,229.3983803,171.74145922991906,fit
203,203,203,3,4.1,D,3162.2776601683795,376.0603756527955,376.0603756527955,326.4484108869308,fit
204,204,204,3,4.1,D,5623.413251903491,588.5322497,588.5322497,491.2730058677758,fit
205,205,205,3,4.1,D,10000,948.6737994805276,948.6737994805276,985.3827593870964,fit
206,206,206,3,4.1,D,31622.776601683792,2309.5188531143244,2309.5188531143244,3539.407163214916,fit
207,207,207,3,4.1,D,100000,6002.620246277036,6002.620246277036,8884.074448030693,fit
247,247,247,3,6.7,D,0.001,0.001,0.001,0.001,fit
247,247,247,3,6.7,D,1,0.7608375307779695,0.7608375307779695,0.046361682,fit
248,248,248,3,6.7,D,3.1622776601683795,2.268592888772089,2.268592888772089,0.2364998426387861,fit
249,249,249,3,6.7,D,10,6.532483483133671,6.532483483133671,1.4568024167896887,fit
250,250,250,3,6.7,D,31.6227766,11.967262918025416,11.967262918025416,4.939960777875264,fit
251,251,251,3,6.7,D,100,24.337425775847137,24.337425775847137,10.986647993205986,fit
252,252,252,3,6.7,D,316.227766,57.50692824897083,57.50692824897083,30.05803512144347,fit
253,253,253,3,6.7,D,1000,142.95705809824486,142.95705809824486,92.86637124735016,fit
254,254,254,3,6.7,D,1778.2794100389228,220.62387087724773,220.62387087724773,173.03495941973034,fit
255,255,255,3,6.7,D,3162.2776601683795,367.72003779915394,367.72003779915394,292.1587222792224,fit
256,256,256,3,6.7,D,5623.413251903491,563.0809709845315,563.0809709845315,463.94368202282607,fit
257,257,257,3,6.7,D,10000,919.2159697,919.2159697,893.0658323,fit
258,258,258,3,6.7,D,31622.776601683792,2260.923114697951,2260.923114697951,3656.7517644185687,fit
259,259,259,3,6.7,D,100000,4944.075413390563,4944.075413390563,8283.843618156166,fit
282,282,282,3,9.6,D,0.001,0.001,0.001,0.001,fit
282,282,282,3,9.6,D,1,0.838702172,0.838702172,0.049668076,fit
283,283,283,3,9.6,D,3.1622776601683795,2.266622002497651,2.266622002497651,0.2497603330078853,fit
284,284,284,3,9.6,D,10,6.122712923888093,6.122712923888093,1.7797441965937495,fit
285,285,285,3,9.6,D,31.6227766,12.16711062880388,12.16711062880388,4.763837505219106,fit
286,286,286,3,9.6,D,100,24.44524312057744,24.44524312057744,10.824704528631848,fit
287,287,287,3,9.6,D,316.227766,57.12385387448298,57.12385387448298,30.736388971065264,fit
288,288,288,3,9.6,D,1000,141.15985306793186,141.15985306793186,92.54346565736216,fit
289,289,289,3,9.6,D,1778.2794100389228,222.0327815351237,222.0327815351237,162.2108712481192,fit
290,290,290,3,9.6,D,3162.2776601683795,348.0648005852286,348.0648005852286,305.8671103678201,fit
291,291,291,3,9.6,D,5623.413251903491,574.0535025140325,574.0535025140325,474.4841925360845,fit
292,292,292,3,9.6,D,10000,893.9414492535875,893.9414492535875,896.7249554,fit
293,293,293,3,9.6,D,31622.776601683792,2244.3493497421146,2244.3493497421146,3453.0265485858995,fit
294,294,294,3,9.6,D,100000,4783.607634,4783.607634,8358.472780816415,fit
308,308,308,3,12,D,0.001,0.001,0.001,0.001,fit
308,308,308,3,12,D,1,0.7225258527894359,0.7225258527894359,0.058241332,fit
309,309,309,3,12,D,3.1622776601683795,2.2920708111994377,2.2920708111994377,0.2862231880490362,fit
310,310,310,3,12,D,10,6.056793864,6.056793864,1.840388500655824,fit
311,311,311,3,12,D,31.6227766,11.65465107925836,11.65465107925836,4.645010770424301,fit
312,312,312,3,12,D,100,23.639318618191982,23.639318618191982,10.659184900208782,fit
313,313,313,3,12,D,316.227766,56.083553357154365,56.083553357154365,30.21601344,fit
314,314,314,3,12,D,1000,138.92188925004223,138.92188925004223,89.43449241699739,fit
315,315,315,3,12,D,1778.2794100389228,224.1758971387372,224.1758971387372,167.44120385406242,fit
316,316,316,3,12,D,3162.2776601683795,349.2241276624733,349.2241276624733,287.3491402430753,fit
317,317,317,3,12,D,5623.413251903491,558.6700862003057,558.6700862003057,460.2199941619062,fit
318,318,318,3,12,D,10000,895.1940133242601,895.1940133242601,861.5250571607605,fit
319,319,319,3,12,D,31622.776601683792,2237.155816416471,2237.155816416471,3618.090852193994,fit
320,320,320,3,12,D,100000,4810.222015672463,4810.222015672463,8101.575827700204,fit
130,130,130,4,2.3,E,0.001,0.001,0.001,0.001,fit
130,130,130,4,2.3,E,1,1.2318126996383296,1.2318126996383296,0.011104495,fit
131,131,131,4,2.3,E,3.1622776601683795,2.637011449,2.637011449,0.038885053,fit
132,132,132,4,2.3,E,10,8.426066441388153,8.426066441388153,0.1426044932230911,fit
133,133,133,4,2.3,E,31.6227766,21.86805530540113,21.86805530540113,0.9750565986996252,fit
134,134,134,4,2.3,E,100,50.09226625063043,50.09226625063043,6.95244581,fit
135,135,135,4,2.3,E,316.227766,104.74002657684566,104.74002657684566,10.843583319723834,fit
136,136,136,4,2.3,E,1000,214.3468421212501,214.3468421212501,21.496376755359023,fit
137,137,137,4,2.3,E,1778.2794100389228,317.3134091439196,317.3134091439196,29.63811379282632,fit
138,138,138,4,2.3,E,3162.2776601683795,463.6558778401816,463.6558778401816,42.41533328537994,fit
139,139,139,4,2.3,E,5623.413251903491,685.2604730832434,685.2604730832434,62.00523379146944,fit
140,140,140,4,2.3,E,10000,986.0120872807232,986.0120872807232,98.36944643583531,fit
141,141,141,4,2.3,E,31622.776601683792,1862.7137120840944,1862.7137120840944,224.3219155069882,fit
142,142,142,4,2.3,E,100000,4320.405083070127,4320.405083070127,355.3215316836097,fit
208,208,208,4,4.1,E,0.001,0.001,0.001,0.001,fit
